| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina7 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina8 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina9 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina10 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina11 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina12 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina13 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina14 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina15 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina16 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina17 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina18 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina19 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina20 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina21 - | on host: mediadot.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina22 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina23 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/placi-video/pagina24 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina1 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina2 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina3 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina4 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina5 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina6 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina7 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina8 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina9 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina10 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina11 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina12 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina13 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina14 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina15 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina16 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina17 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina18 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina19 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina20 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina21 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina22 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina23 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina24 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina25 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina26 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina27 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina28 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina29 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina30 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.mediadot.ro/telefonie/telefoane-mobile/pagina31 - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - Done with - mediadot.ro - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - Found 28 items for host: mediadot.ro - | on host: mediadot.ro |
| 27.05.2014_00:57 |[LOG] - Scraping content from - pcgarage.ro - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - Building pagination for host: pcgarage.ro - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - Page number complete - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina1 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina2 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina3 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina4 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina5 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina6 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina7 - | on host: pcgarage.ro |
| 27.05.2014_00:57 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina8 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina9 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina10 - | on host: pcgarage.ro |
